Division,Carline,EngDispl,Cyl,CombMPG,Transmission ,Gears,EPA,Money,CombCO2
Acura,NSX,3.5,6,21,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,2300,4000,420
ALFA ROMEO,4C,1.8,4,28,Automated Manual,6,1750,1250,317
Aston Martin Lagonda Ltd,Vantage V8,4.0,8,20,Semi-Automatic,8,2450,4750,435
Audi,R8,5.2,10,16,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,3050,7750,556
Audi,R8 Spyder,5.2,10,16,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,3050,7750,556
Audi,TT Roadster quattro,2.0,4,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1550,250,340
BMW,Z4 M40i,3.0,6,26,Semi-Automatic,8,1900,2000,334
BMW,Z4 sDrive30i,2.0,4,27,Semi-Automatic,8,1800,1500,324
Bugatti,Chiron,8.0,16,11,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,4450,14750,840
"Ferrari North America, Inc.",488 Pista,3.9,8,17,Automated Manual,7,2850,6750,524
"Ferrari North America, Inc.",488 Pista Spider,3.9,8,17,Automated Manual,7,2850,6750,531
"Ferrari North America, Inc.",812 Superfast,6.5,12,13,Automated Manual,7,3750,11250,661
"Ferrari North America, Inc.",F8 Tributo,3.9,8,16,Automated Manual,7,3050,7750,541
FIAT,124 Spider,1.4,4,29,Automatic,6,1700,1000,302
FIAT,124 Spider,1.4,4,30,Manual,6,1600,500,298
Jaguar,F-TYPE AWD Convertible,5.0,8,18,Semi-Automatic,8,2700,6000,481
Jaguar,F-TYPE AWD Coupe,5.0,8,18,Semi-Automatic,8,2700,6000,481
Jaguar,F-TYPE Convertible,2.0,4,26,Semi-Automatic,8,1900,2000,346
Jaguar,F-TYPE Convertible,3.0,6,23,Semi-Automatic,8,2100,3000,390
Jaguar,F-TYPE Coupe,2.0,4,26,Semi-Automatic,8,1900,2000,346
Jaguar,F-TYPE Coupe,3.0,6,23,Semi-Automatic,8,2100,3000,390
Jaguar,F-TYPE S AWD Convertible,3.0,6,21,Semi-Automatic,8,2300,4000,426
Jaguar,F-TYPE S AWD Coupe,3.0,6,21,Semi-Automatic,8,2300,4000,426
Jaguar,F-TYPE S Convertible,3.0,6,22,Semi-Automatic,8,2200,3500,407
Jaguar,F-TYPE S Coupe,3.0,6,22,Semi-Automatic,8,2200,3500,407
Jaguar,F-TYPE SVR AWD Convertible,5.0,8,18,Semi-Automatic,8,2700,6000,481
Jaguar,F-TYPE SVR AWD Coupe,5.0,8,18,Semi-Automatic,8,2700,6000,481
Lamborghini,Aventador Coupe,6.5,12,11,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,4450,14750,787
Lamborghini,Aventador Roadster,6.5,12,11,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,4450,14750,806
Lamborghini,Huracan,5.2,10,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,3250,8750,596
Lamborghini,Huracan Spyder,5.2,10,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,3250,8750,596
Mercedes-Benz,AMG GT (coupe),4.0,8,18,Automated Manual,7,2700,6000,488
Mercedes-Benz,AMG GT (roadster),4.0,8,18,Automated Manual,7,2700,6000,488
Mercedes-Benz,AMG GT C (coupe),4.0,8,17,Automated Manual,7,2850,6750,506
Mercedes-Benz,AMG GT C (roadster),4.0,8,17,Automated Manual,7,2850,6750,525
Mercedes-Benz,AMG GT R (coupe),4.0,8,17,Automated Manual,7,2850,6750,526
Mercedes-Benz,AMG GT R (roadster),4.0,8,17,Automated Manual,7,2850,6750,526
Mercedes-Benz,AMG SLC 43,3.0,6,23,Automatic,9,2100,3000,383
Mercedes-Benz,SL 450,3.0,6,22,Automatic,9,2200,3500,395
Mercedes-Benz,SL 550,4.7,8,20,Automatic,9,2450,4750,435
NISSAN,370Z,3.7,6,22,Semi-Automatic,7,2200,3500,406
NISSAN,370Z,3.7,6,20,Manual,6,2450,4750,445
NISSAN,370Z Roadster,3.7,6,21,Semi-Automatic,7,2300,4000,429
TOYOTA,Supra 3.0,3.0,6,26,Semi-Automatic,8,1900,2000,334
Aston Martin Lagonda Ltd,DB11 V12,5.2,12,18,Semi-Automatic,8,2700,6000,497
Aston Martin Lagonda Ltd,DB11 V8,4.0,8,20,Semi-Automatic,8,2450,4750,431
Aston Martin Lagonda Ltd,DBS,5.2,12,17,Semi-Automatic,8,2850,6750,522
Bentley,Continental GT Convertible,4.0,8,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2550,5250,469
"Ferrari North America, Inc.",GTC4Lusso,6.3,12,13,Automated Manual,7,3750,11250,661
"Ferrari North America, Inc.",GTC4Lusso T,3.9,8,17,Automated Manual,7,2850,6750,524
"Ferrari North America, Inc.",Portofino,3.9,8,18,Automated Manual,7,2700,6000,485
Lotus Cars Ltd,Evora,3.5,6,20,Semi-Automatic,6,2450,4750,451
Lotus Cars Ltd,Evora,3.5,6,19,Manual,6,2550,5250,468
Lotus Cars Ltd,Evora GT,3.5,6,20,Semi-Automatic,6,2450,4750,438
Lotus Cars Ltd,Evora GT,3.5,6,20,Manual,6,2450,4750,441
Mini,COOPER CONVERTIBLE,1.5,3,31,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1550,250,281
Mini,COOPER S CONVERTIBLE,2.0,4,29,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1700,1000,304
Mini,JOHN COOPER WORKS CONVERTIBLE,2.0,4,28,Semi-Automatic,8,1750,1250,313
Porsche,911 Carrera 4S,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,445
Porsche,911 Carrera 4S Cabriolet,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,445
Porsche,911 Carrera S,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,444
Porsche,911 Carrera S Cabriolet,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,444
Subaru,BRZ,2.0,4,27,Semi-Automatic,6,1800,1500,322
Subaru,BRZ,2.0,4,24,Manual,6,2050,2750,372
Subaru,BRZ tS,2.0,4,23,Manual,6,2100,3000,384
TOYOTA,86,2.0,4,27,Semi-Automatic,6,1800,1500,328
TOYOTA,86,2.0,4,24,Manual,6,2050,2750,373
Audi,A3,2.0,4,30,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1350,,293
Audi,A3 Cabriolet quattro,2.0,4,25,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1600,500,359
Audi,A3 quattro,2.0,4,25,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1600,500,359
Audi,S3,2.0,4,25,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1950,2250,358
Audi,S5,3.0,6,23,Semi-Automatic,8,2100,3000,393
Audi,S5 Cabriolet,3.0,6,22,Semi-Automatic,8,2200,3500,405
Audi,TT Coupe quattro,2.0,4,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1550,250,340
Audi,TTS Coupe,2.0,4,25,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1950,2250,354
Bentley,Continental GT,4.0,8,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2550,5250,469
BMW,230i Convertible,2.0,4,27,Semi-Automatic,8,1800,1500,327
BMW,230i Coupe,2.0,4,27,Semi-Automatic,8,1800,1500,324
BMW,230i Coupe,2.0,4,25,Manual,6,1950,2250,356
BMW,230i xDrive Convertible,2.0,4,24,Semi-Automatic,8,2050,2750,361
BMW,230i xDrive Coupe,2.0,4,24,Semi-Automatic,8,2050,2750,361
BMW,430i Convertible,2.0,4,27,Semi-Automatic,8,1800,1500,327
BMW,430i xDrive Convertible,2.0,4,26,Semi-Automatic,8,1900,2000,344
BMW,440i Convertible,3.0,6,24,Semi-Automatic,8,2050,2750,361
BMW,440i xDrive Convertible,3.0,6,23,Semi-Automatic,8,2100,3000,394
BMW,840i Convertible,3.0,6,24,Semi-Automatic,8,2050,2750,361
BMW,840i Coupe,3.0,6,25,Semi-Automatic,8,1950,2250,347
BMW,840i xDrive Convertible,3.0,6,23,Semi-Automatic,8,2100,3000,388
BMW,840i xDrive Coupe,3.0,6,23,Semi-Automatic,8,2100,3000,380
BMW,M2 Competition Coupe,3.0,6,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,2550,5250,471
BMW,M2 Competition Coupe,3.0,6,20,Manual,6,2450,4750,440
BMW,M240i Convertible,3.0,6,25,Semi-Automatic,8,1950,2250,353
BMW,M240i Convertible,3.0,6,22,Manual,6,2200,3500,408
BMW,M240i Coupe,3.0,6,25,Semi-Automatic,8,1950,2250,353
BMW,M240i Coupe,3.0,6,22,Manual,6,2200,3500,408
BMW,M240i Coupe M Performance,3.0,6,25,Semi-Automatic,8,1950,2250,353
BMW,M240i Coupe M Performance,3.0,6,22,Manual,6,2200,3500,408
BMW,M240i xDrive Convertible,3.0,6,25,Semi-Automatic,8,1950,2250,356
BMW,M240i xDrive Coupe,3.0,6,25,Semi-Automatic,8,1950,2250,356
BMW,M240i xDrive Coupe M Performance,3.0,6,25,Semi-Automatic,8,1950,2250,356
BMW,M4 Convertible,3.0,6,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,2550,5250,481
BMW,M4 Convertible,3.0,6,20,Manual,6,2450,4750,450
BMW,M4 Convertible Competition,3.0,6,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,2550,5250,481
BMW,M4 Convertible Competition,3.0,6,20,Manual,6,2450,4750,450
BMW,M8 Competition Convertible,4.4,8,17,Semi-Automatic,8,2850,6750,518
BMW,M8 Competition Coupe,4.4,8,17,Semi-Automatic,8,2850,6750,518
BMW,M8 Convertible,4.4,8,17,Semi-Automatic,8,2850,6750,518
BMW,M8 Coupe,4.4,8,17,Semi-Automatic,8,2850,6750,518
BMW,M850i xDrive Convertible,4.4,8,20,Semi-Automatic,8,2450,4750,450
BMW,M850i xDrive Coupe,4.4,8,20,Semi-Automatic,8,2450,4750,435
Chevrolet,CAMARO,2.0,4,25,Semi-Automatic,8,1950,2250,353
Chevrolet,CAMARO,2.0,4,23,Manual,6,2100,3000,378
Chevrolet,CAMARO,3.6,6,22,Semi-Automatic,10,1850,1750,397
Chevrolet,CAMARO,3.6,6,20,Manual,6,2000,2500,451
Chevrolet,CAMARO,6.2,8,20,Semi-Automatic,10,2450,4750,451
Chevrolet,CAMARO,6.2,8,16,Semi-Automatic,10,3050,7750,571
Chevrolet,CAMARO,6.2,8,19,Manual,6,2550,5250,477
Chevrolet,CAMARO,6.2,8,16,Manual,6,3050,7750,565
Chevrolet,SPARK,1.4,4,33,Continuously Variable,1,1250,,269
Chevrolet,SPARK,1.4,4,33,Manual,5,1250,,273
Chevrolet,SPARK ACTIV,1.4,4,33,Continuously Variable,1,1250,,269
Chevrolet,SPARK ACTIV,1.4,4,32,Manual,5,1250,,278
Ford,MUSTANG,2.3,4,25,Semi-Automatic,10,1600,500,354
Ford,MUSTANG,2.3,4,24,Manual,6,1700,1000,364
Ford,MUSTANG,5.0,8,19,Semi-Automatic,10,2150,3250,472
Ford,MUSTANG,5.0,8,18,Manual,6,2250,3750,493
Ford,MUSTANG BULLITT,5.0,8,17,Manual,6,2400,4500,514
Ford,MUSTANG CONVERTIBLE,2.3,4,23,Semi-Automatic,10,1750,1250,387
Ford,MUSTANG CONVERTIBLE,2.3,4,23,Manual,6,1750,1250,386
Ford,MUSTANG CONVERTIBLE,5.0,8,18,Semi-Automatic,10,2250,3750,484
Ford,MUSTANG HO CONVERTIBLE,2.3,4,23,Semi-Automatic,10,1750,1250,386
Ford,MUSTANG HO CONVERTIBLE,2.3,4,22,Manual,6,1850,1750,406
Ford,MUSTANG HO COUPE,2.3,4,23,Semi-Automatic,10,1750,1250,386
Ford,MUSTANG HO COUPE,2.3,4,23,Manual,6,1750,1250,389
Ford,SHELBY GT350 MUSTANG,5.2,8,16,Manual,6,3050,7750,550
Ford,SHELBY GT500 MUSTANG,5.2,8,14,Automated Manual,7,3500,10000,631
INFINITI,Q60,3.0,6,22,Semi-Automatic,7,2200,3500,397
INFINITI,Q60 AWD,3.0,6,22,Semi-Automatic,7,2200,3500,409
INFINITI,Q60 AWD RED SPORT,3.0,6,21,Semi-Automatic,7,2300,4000,424
INFINITI,Q60 RED SPORT,3.0,6,22,Semi-Automatic,7,2200,3500,405
LEXUS,LC 500,5.0,8,19,Semi-Automatic,10,2550,5250,473
LEXUS,LC 500h,3.5,6,30,Selectable Continuously Variable (e.g. CVT with paddles),10,1600,500,298
LEXUS,RC F,5.0,8,19,Semi-Automatic,8,2550,5250,459
Mercedes-Benz,A 220,2.0,4,28,Automatic,7,1750,1250,313
Mercedes-Benz,A 220 4MATIC,2.0,4,28,Automatic,7,1750,1250,324
Mercedes-Benz,AMG C 43 4MATIC (convertible),3.0,6,21,Automatic,9,2300,4000,423
Mercedes-Benz,AMG C 43 4MATIC (coupe),3.0,6,22,Automatic,9,2200,3500,411
Mercedes-Benz,AMG C 63 (convertible),4.0,8,20,Automatic,9,2450,4750,452
Mercedes-Benz,AMG C 63 (coupe),4.0,8,20,Automatic,9,2450,4750,444
Mercedes-Benz,AMG C 63 S (convertible),4.0,8,20,Automatic,9,2450,4750,452
Mercedes-Benz,AMG C 63 S (coupe),4.0,8,20,Automatic,9,2450,4750,444
Mercedes-Benz,AMG E 53 4MATIC+ (Convertible),3.0,6,23,Automatic,9,2100,3000,394
Mercedes-Benz,AMG E 53 4MATIC+ (Coupe),3.0,6,23,Automatic,9,2100,3000,381
Mercedes-Benz,AMG S 63 4MATIC+ (convertible),4.0,8,18,Automatic,9,2700,6000,493
Mercedes-Benz,C 300 (convertible),2.0,4,24,Automatic,9,2050,2750,373
Mercedes-Benz,C 300 (Coupe),2.0,4,25,Automatic,9,1950,2250,351
Mercedes-Benz,C 300 4MATIC (convertible),2.0,4,24,Automatic,9,2050,2750,374
Mercedes-Benz,C 300 4MATIC (Coupe),2.0,4,25,Automatic,9,1950,2250,360
Mercedes-Benz,E 450 (convertible),3.0,6,23,Automatic,9,2100,3000,393
Mercedes-Benz,E 450 (coupe),3.0,6,23,Automatic,9,2100,3000,388
Mercedes-Benz,E 450 4MATIC (convertible),3.0,6,22,Automatic,9,2200,3500,408
Mercedes-Benz,E 450 4MATIC (coupe),3.0,6,22,Automatic,9,2200,3500,409
Mercedes-Benz,S 560 (convertible),4.0,8,20,Automatic,9,2450,4750,439
Mini,COOPER HARDTOP 2 DOOR,1.5,3,31,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1550,250,281
Mini,COOPER HARDTOP 4 DOOR,1.5,3,31,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1550,250,281
Mini,COOPER S HARDTOP 2 DOOR,2.0,4,30,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1600,500,297
Mini,COOPER S HARDTOP 4 DOOR,2.0,4,30,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1600,500,297
Mini,JOHN COOPER WORKS HARDTOP,2.0,4,29,Semi-Automatic,8,1700,1000,305
NISSAN,GT-R,3.8,6,18,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,2700,6000,482
Acura,ILX,2.4,4,28,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,1750,1250,316
Acura,TLX AWD,3.5,6,23,Semi-Automatic,9,2100,3000,384
Acura,TLX AWD A-SPEC,3.5,6,23,Semi-Automatic,9,2100,3000,387
Acura,TLX FWD,2.4,4,27,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,1800,1500,330
Acura,TLX FWD,3.5,6,24,Semi-Automatic,9,2050,2750,374
Acura,TLX FWD A-SPEC,2.4,4,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,1900,2000,336
Acura,TLX FWD A-SPEC,3.5,6,23,Semi-Automatic,9,2100,3000,382
Audi,A4,2.0,4,30,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1600,500,295
Audi,S4,3.0,6,23,Semi-Automatic,8,2100,3000,393
BMW,330i,2.0,4,30,Semi-Automatic,8,1600,500,299
BMW,330i xDrive,2.0,4,28,Semi-Automatic,8,1750,1250,313
BMW,430i Coupe,2.0,4,27,Semi-Automatic,8,1800,1500,327
BMW,430i Coupe,2.0,4,25,Manual,6,1950,2250,351
BMW,430i Gran Coupe,2.0,4,27,Semi-Automatic,8,1800,1500,327
BMW,430i xDrive Coupe,2.0,4,24,Semi-Automatic,8,2050,2750,361
BMW,430i xDrive Gran Coupe,2.0,4,24,Semi-Automatic,8,2050,2750,361
BMW,440i Coupe,3.0,6,25,Semi-Automatic,8,1950,2250,353
BMW,440i Coupe,3.0,6,22,Manual,6,2200,3500,408
BMW,440i Gran Coupe,3.0,6,25,Semi-Automatic,8,1950,2250,353
BMW,440i xDrive Coupe,3.0,6,25,Semi-Automatic,8,1950,2250,356
BMW,440i xDrive Coupe,3.0,6,21,Manual,6,2300,4000,412
BMW,440i xDrive Gran Coupe,3.0,6,25,Semi-Automatic,8,1950,2250,356
BMW,M340i,3.0,6,25,Semi-Automatic,8,1950,2250,353
BMW,M340i xDrive,3.0,6,25,Semi-Automatic,8,1950,2250,356
BMW,M4 Coupe,3.0,6,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,2550,5250,471
BMW,M4 Coupe,3.0,6,20,Manual,6,2450,4750,440
BMW,M4 Coupe Competition,3.0,6,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,2550,5250,471
BMW,M4 Coupe Competition,3.0,6,20,Manual,6,2450,4750,440
BMW,M4 CS,3.0,6,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,2550,5250,471
Chevrolet,SONIC,1.4,4,29,Semi-Automatic,6,1400,,308
GENESIS,G70 AWD,2.0,4,23,Semi-Automatic,8,2100,3000,385
GENESIS,G70 AWD,3.3,6,20,Semi-Automatic,8,2450,4750,457
GENESIS,G70 RWD,2.0,4,25,Semi-Automatic,8,1950,2250,357
GENESIS,G70 RWD,2.0,4,22,Manual,6,2200,3500,410
GENESIS,G70 RWD,3.3,6,20,Semi-Automatic,8,2450,4750,447
Honda,CIVIC 2DR,1.5,4,35,Continuously Variable,1,1150,,256
Honda,CIVIC 2DR,1.5,4,33,Selectable Continuously Variable (e.g. CVT with paddles),7,1250,,269
Honda,CIVIC 2DR,1.5,4,30,Manual,6,1600,500,294
Honda,CIVIC 2DR,2.0,4,33,Continuously Variable,1,1250,,264
Honda,CIVIC 2DR,2.0,4,32,Selectable Continuously Variable (e.g. CVT with paddles),7,1250,,280
Honda,CIVIC 2DR,2.0,4,29,Manual,6,1400,,304
HYUNDAI MOTOR COMPANY,Accent,1.6,4,36,Continuously Variable,1,1100,,248
HYUNDAI MOTOR COMPANY,Accent,1.6,4,33,Manual,6,1250,,273
HYUNDAI MOTOR COMPANY,Veloster,1.6,4,30,Automated Manual,7,1350,,296
HYUNDAI MOTOR COMPANY,Veloster,1.6,4,29,Manual,6,1400,,308
HYUNDAI MOTOR COMPANY,Veloster,2.0,4,30,Semi-Automatic,6,1350,,300
HYUNDAI MOTOR COMPANY,Veloster,2.0,4,28,Manual,6,1450,,317
HYUNDAI MOTOR COMPANY,Veloster N,2.0,4,25,Manual,6,1600,500,363
Jaguar,XE,2.0,4,28,Semi-Automatic,8,1750,1250,312
Jaguar,XE 30t,2.0,4,27,Semi-Automatic,8,1800,1500,333
Jaguar,XE AWD,2.0,4,28,Semi-Automatic,8,1750,1250,321
Jaguar,XE AWD 30t,2.0,4,25,Semi-Automatic,8,1950,2250,354
KIA MOTORS CORPORATION,Rio,1.6,4,36,Continuously Variable,1,1100,,249
LEXUS,GS F,5.0,8,19,Semi-Automatic,8,2550,5250,472
LEXUS,IS 300,2.0,4,24,Semi-Automatic,8,2050,2750,363
LEXUS,IS 300 AWD,3.5,6,21,Semi-Automatic,6,2300,4000,422
LEXUS,IS 350,3.5,6,23,Semi-Automatic,8,2100,3000,388
LEXUS,IS 350 AWD,3.5,6,21,Semi-Automatic,6,2300,4000,422
LEXUS,UX 250h,2.0,4,42,Selectable Continuously Variable (e.g. CVT with paddles),6,950,,209
LEXUS,UX 250h,2.0,4,42,Selectable Continuously Variable (e.g. CVT with paddles),6,950,,209
LEXUS,UX 250h AWD,2.0,4,39,Selectable Continuously Variable (e.g. CVT with paddles),6,1050,,225
LEXUS,UX 250h AWD,2.0,4,39,Selectable Continuously Variable (e.g. CVT with paddles),6,1050,,225
MAZDA,MAZDA3 4-Door 2WD,2.5,4,30,Semi-Automatic,6,1350,,295
MAZDA,MAZDA3 4-Door 2WD,2.5,4,30,Semi-Automatic,6,1350,,299
